X	TIME
104	2136766182
128	2136766222
120	2136766262
112	2136766302
104	2136766342
104	2136766382
104	2136766422
120	2136766462
104	2136766502
112	2136766542
112	2136766582
136	2136766622
112	2136766662
112	2136766702
80	2136766742
96	2136766782
96	2136766822
104	2136766862
96	2136766902
96	2136766942
136	2136766982
136	2136767022
112	2136767062
104	2136767102
96	2136767142
128	2136767204
96	2136767244
128	2136767284
144	2136767324
168	2136767364
184	2136767404
200	2136767444
256	2136767484
272	2136767524
304	2136767564
328	2136767604
376	2136767644
352	2136767684
328	2136767724
328	2136767764
320	2136767804
320	2136767844
320	2136767884
328	2136767924
336	2136767964
448	2136768004
376	2136768044
400	2136768084
320	2136768124
408	2136768164
376	2136767714
368	2136767754
400	2136767794
376	2136767834
416	2136767874
408	2136767914
416	2136767954
432	2136767994
416	2136768034
376	2136768074
384	2136768114
384	2136768154
376	2136768194
400	2136768234
424	2136768274
472	2136768314
536	2136768354
592	2136768394
616	2136768434
688	2136768474
744	2136768514
768	2136768554
800	2136768594
840	2136768634
848	2136768674
880	2136768225
888	2136768265
872	2136768305
872	2136768345
880	2136768385
880	2136768425
864	2136768465
848	2136768505
824	2136768545
784	2136768585
784	2136768625
768	2136768665
768	2136768705
776	2136768745
776	2136768785
760	2136768825
752	2136768865
736	2136768905
744	2136768945
720	2136768985
712	2136769025
712	2136769065
696	2136769105
704	2136769145
688	2136769185
704	2136768736
672	2136768776
624	2136768816
592	2136768856
560	2136768896
528	2136768936
512	2136768976
472	2136769016
448	2136769056
432	2136769096
376	2136769136
344	2136769176
328	2136769216
328	2136769256
296	2136769296
272	2136769336
224	2136769376
208	2136769416
168	2136769456
120	2136769496
72	2136769536
56	2136769576
48	2136769616
16	2136769656
-7	2136769696
-23	2136769247
-71	2136769287
-71	2136769327
-95	2136769367
-135	2136769407
-183	2136769447
-199	2136769487
-231	2136769527
-255	2136769567
-263	2136769607
-287	2136769647
-295	2136769687
-319	2136769727
-319	2136769767
-367	2136769807
-375	2136769847
-407	2136769887
-423	2136769927
-447	2136769967
-471	2136770007
-495	2136770047
-511	2136770087
-527	2136770127
-543	2136770167
-559	2136770207
-583	2136769757
-583	2136769797
-599	2136769837
-599	2136769877
-599	2136769917
-631	2136769957
-639	2136769997
-631	2136770037
-631	2136770077
-623	2136770117
-607	2136770157
-615	2136770197
-607	2136770237
-591	2136770277
-599	2136770317
-591	2136770357
-575	2136770397
-567	2136770437
-559	2136770477
-527	2136770517
-503	2136770557
-479	2136770597
-511	2136770637
-495	2136770677
-495	2136770717
-463	2136770268
-439	2136770308
-415	2136770348
-423	2136770388
-391	2136770428
-367	2136770468
-351	2136770508
-343	2136770548
-319	2136770588
-295	2136770628
-239	2136770668
-223	2136770708
-223	2136770748
-175	2136770788
-127	2136770828
-127	2136770868
-79	2136770908
-47	2136770948
-31	2136770988
-23	2136771028
0	2136771068
40	2136771108
48	2136771148
88	2136771188
120	2136771228
-463	2136770268
-439	2136770308
-415	2136770348
-423	2136770388
-391	2136770428
-367	2136770468
-351	2136770508
-343	2136770548
-319	2136770588
-295	2136770628
-239	2136770668
-223	2136770708
-223	2136770748
-175	2136770788
-127	2136770828
-127	2136770868
-79	2136770908
-47	2136770948
-31	2136770988
-23	2136771028
0	2136771068
40	2136771108
48	2136771148
88	2136771188
120	2136771228
-727	2136772820
-719	2136772860
-711	2136772900
-719	2136772940
-719	2136772980
-719	2136773020
-727	2136773060
-719	2136773100
-719	2136773140
-711	2136773180
-703	2136773220
-719	2136773260
-727	2136773300
-695	2136773340
-671	2136773380
-671	2136773420
-639	2136773460
-639	2136773500
-631	2136773540
-615	2136773580
-607	2136773620
-591	2136773660
-599	2136773700
-583	2136773740
-567	2136773780
-567	2136773331
-551	2136773371
-519	2136773411
-487	2136773451
-487	2136773491
-471	2136773531
-455	2136773571
-463	2136773611
-471	2136773651
-431	2136773691
-415	2136773731
-399	2136773771
-391	2136773811
-375	2136773851
-359	2136773891
-327	2136773931
-311	2136773971
-303	2136774011
-287	2136774051
-247	2136774091
-239	2136774131
-207	2136774171
-199	2136774211
-151	2136774251
-151	2136774291
-127	2136773841
-63	2136773881
-55	2136773921
-31	2136773961
-7	2136774001
40	2136774041
64	2136774081
72	2136774121
80	2136774161
96	2136774201
152	2136774241
176	2136774281
168	2136774321
200	2136774361
240	2136774401
256	2136774441
280	2136774481
304	2136774521
328	2136774561
352	2136774601
376	2136774641
416	2136774681
488	2136774721
504	2136774761
512	2136774801
560	2136774352
576	2136774392
576	2136774432
560	2136774472
584	2136774512
608	2136774552
640	2136774592
664	2136774632
688	2136774672
696	2136774712
712	2136774752
736	2136774792
776	2136774832
792	2136774872
808	2136774912
824	2136774952
856	2136774992
880	2136775032
896	2136775072
872	2136775112
880	2136775152
864	2136775192
856	2136775232
832	2136775272
864	2136775312
856	2136774863
840	2136774903
840	2136774943
824	2136774983
816	2136775023
824	2136775063
824	2136775103
800	2136775143
800	2136775183
784	2136775223
816	2136775263
768	2136775303
744	2136775343
736	2136775383
704	2136775423
720	2136775463
672	2136775503
656	2136775543
624	2136775583
632	2136775623
592	2136775663
544	2136775703
544	2136775743
520	2136775783
512	2136775823
496	2136775374
456	2136775414
432	2136775454
392	2136775494
352	2136775534
312	2136775574
256	2136775614
216	2136775654
176	2136775694
128	2136775734
112	2136775774
80	2136775814
40	2136775854
-15	2136775894
-39	2136775934
-71	2136775974
-103	2136776014
-127	2136776054
-167	2136776094
-223	2136776134
-247	2136776174
-327	2136776214
-351	2136776254
-383	2136776294
-407	2136776334
-447	2136775884
-479	2136775924
-511	2136775964
-543	2136776004
-567	2136776044
-591	2136776084
-607	2136776124
-639	2136776164
-623	2136776204
-631	2136776244
-655	2136776284
-655	2136776324
-695	2136776364
-695	2136776404
-687	2136776444
-671	2136776484
-687	2136776524
-663	2136776564
-639	2136776604
-639	2136776644
-639	2136776684
-639	2136776724
-631	2136776764
-615	2136776804
-591	2136776844
-591	2136776395
-583	2136776435
-575	2136776475
-543	2136776515
-535	2136776555
-503	2136776595
-479	2136776635
-471	2136776675
-463	2136776715
-447	2136776755
-415	2136776795
-407	2136776835
-407	2136776875
-399	2136776915
-319	2136776955
-303	2136776995
-279	2136777035
-279	2136777075
-271	2136777115
-231	2136777155
-183	2136777195
-159	2136777235
-167	2136777275
-79	2136777315
-71	2136777355
-39	2136776906
16	2136776946
96	2136776986
120	2136777026
144	2136777066
176	2136777106
264	2136777146
280	2136777186
312	2136777226
360	2136777266
376	2136777306
376	2136777346
408	2136777386
432	2136777426
472	2136777466
496	2136777506
504	2136777546
560	2136777586
560	2136777626
576	2136777666
584	2136777706
624	2136777746
632	2136777786
648	2136777826
672	2136777866
696	2136777417
736	2136777457
768	2136777497
792	2136777537
816	2136777577
840	2136777617
864	2136777657
880	2136777697
864	2136777737
848	2136777777
848	2136777817
864	2136777857
872	2136777897
872	2136777937
864	2136777977
848	2136778017
840	2136778057
800	2136778097
784	2136778137
816	2136778177
840	2136778217
824	2136778257
808	2136778297
792	2136778337
768	2136778377
760	2136777927
744	2136777967
720	2136778007
696	2136778047
