Y	TIME
32	2136766182
16	2136766222
40	2136766262
16	2136766302
0	2136766342
32	2136766382
56	2136766422
16	2136766462
16	2136766502
0	2136766542
8	2136766582
24	2136766622
32	2136766662
32	2136766702
24	2136766742
24	2136766782
24	2136766822
8	2136766862
8	2136766902
16	2136766942
8	2136766982
-7	2136767022
0	2136767062
0	2136767102
16	2136767142
928	2136767204
976	2136767244
984	2136767284
952	2136767324
1072	2136767364
1160	2136767404
1224	2136767444
1072	2136767484
992	2136767524
1104	2136767564
1280	2136767604
1216	2136767644
1120	2136767684
1136	2136767724
1208	2136767764
1104	2136767804
1032	2136767844
1032	2136767884
1072	2136767924
1080	2136767964
1016	2136768004
664	2136768044
784	2136768084
976	2136768124
984	2136768164
784	2136767714
688	2136767754
712	2136767794
672	2136767834
712	2136767874
664	2136767914
688	2136767954
736	2136767994
736	2136768034
736	2136768074
776	2136768114
744	2136768154
704	2136768194
624	2136768234
664	2136768274
592	2136768314
568	2136768354
560	2136768394
552	2136768434
584	2136768474
568	2136768514
560	2136768554
568	2136768594
560	2136768634
544	2136768674
568	2136768225
576	2136768265
504	2136768305
496	2136768345
480	2136768385
432	2136768425
408	2136768465
408	2136768505
440	2136768545
376	2136768585
400	2136768625
416	2136768665
376	2136768705
368	2136768745
344	2136768785
360	2136768825
344	2136768865
336	2136768905
344	2136768945
344	2136768985
360	2136769025
416	2136769065
408	2136769105
416	2136769145
432	2136769185
440	2136768736
440	2136768776
424	2136768816
440	2136768856
440	2136768896
440	2136768936
456	2136768976
464	2136769016
464	2136769056
440	2136769096
424	2136769136
432	2136769176
448	2136769216
440	2136769256
448	2136769296
448	2136769336
448	2136769376
456	2136769416
432	2136769456
464	2136769496
464	2136769536
448	2136769576
456	2136769616
464	2136769656
456	2136769696
472	2136769247
488	2136769287
512	2136769327
520	2136769367
496	2136769407
488	2136769447
488	2136769487
448	2136769527
456	2136769567
472	2136769607
488	2136769647
488	2136769687
472	2136769727
456	2136769767
448	2136769807
440	2136769847
432	2136769887
424	2136769927
416	2136769967
400	2136770007
400	2136770047
400	2136770087
392	2136770127
392	2136770167
376	2136770207
336	2136769757
288	2136769797
296	2136769837
280	2136769877
288	2136769917
272	2136769957
288	2136769997
304	2136770037
288	2136770077
264	2136770117
296	2136770157
288	2136770197
296	2136770237
280	2136770277
288	2136770317
312	2136770357
304	2136770397
288	2136770437
264	2136770477
240	2136770517
272	2136770557
288	2136770597
296	2136770637
280	2136770677
360	2136770717
360	2136770268
352	2136770308
360	2136770348
336	2136770388
336	2136770428
344	2136770468
344	2136770508
376	2136770548
368	2136770588
384	2136770628
416	2136770668
376	2136770708
384	2136770748
384	2136770788
392	2136770828
392	2136770868
400	2136770908
352	2136770948
392	2136770988
416	2136771028
448	2136771068
448	2136771108
456	2136771148
472	2136771188
472	2136771228
360	2136770268
352	2136770308
360	2136770348
336	2136770388
336	2136770428
344	2136770468
344	2136770508
376	2136770548
368	2136770588
384	2136770628
416	2136770668
376	2136770708
384	2136770748
384	2136770788
392	2136770828
392	2136770868
400	2136770908
352	2136770948
392	2136770988
416	2136771028
448	2136771068
448	2136771108
456	2136771148
472	2136771188
472	2136771228
160	2136772820
152	2136772860
160	2136772900
176	2136772940
176	2136772980
192	2136773020
184	2136773060
176	2136773100
192	2136773140
192	2136773180
200	2136773220
200	2136773260
216	2136773300
208	2136773340
216	2136773380
216	2136773420
232	2136773460
232	2136773500
232	2136773540
240	2136773580
240	2136773620
256	2136773660
256	2136773700
256	2136773740
272	2136773780
256	2136773331
280	2136773371
256	2136773411
264	2136773451
256	2136773491
280	2136773531
336	2136773571
328	2136773611
328	2136773651
336	2136773691
336	2136773731
320	2136773771
328	2136773811
392	2136773851
376	2136773891
360	2136773931
400	2136773971
408	2136774011
408	2136774051
408	2136774091
392	2136774131
424	2136774171
424	2136774211
424	2136774251
432	2136774291
424	2136773841
432	2136773881
440	2136773921
448	2136773961
456	2136774001
456	2136774041
504	2136774081
456	2136774121
440	2136774161
456	2136774201
472	2136774241
504	2136774281
496	2136774321
512	2136774361
544	2136774401
520	2136774441
496	2136774481
480	2136774521
504	2136774561
496	2136774601
512	2136774641
504	2136774681
520	2136774721
544	2136774761
504	2136774801
488	2136774352
488	2136774392
488	2136774432
464	2136774472
464	2136774512
456	2136774552
488	2136774592
480	2136774632
488	2136774672
464	2136774712
464	2136774752
440	2136774792
472	2136774832
456	2136774872
456	2136774912
440	2136774952
448	2136774992
432	2136775032
408	2136775072
408	2136775112
416	2136775152
416	2136775192
440	2136775232
432	2136775272
432	2136775312
408	2136774863
408	2136774903
384	2136774943
376	2136774983
368	2136775023
376	2136775063
384	2136775103
392	2136775143
392	2136775183
400	2136775223
392	2136775263
392	2136775303
408	2136775343
440	2136775383
464	2136775423
448	2136775463
464	2136775503
480	2136775543
488	2136775583
488	2136775623
472	2136775663
472	2136775703
480	2136775743
480	2136775783
480	2136775823
520	2136775374
488	2136775414
496	2136775454
496	2136775494
472	2136775534
504	2136775574
488	2136775614
472	2136775654
488	2136775694
472	2136775734
488	2136775774
456	2136775814
424	2136775854
416	2136775894
400	2136775934
416	2136775974
392	2136776014
376	2136776054
392	2136776094
384	2136776134
392	2136776174
368	2136776214
360	2136776254
368	2136776294
360	2136776334
368	2136775884
288	2136775924
312	2136775964
272	2136776004
248	2136776044
288	2136776084
320	2136776124
264	2136776164
272	2136776204
288	2136776244
288	2136776284
296	2136776324
280	2136776364
280	2136776404
256	2136776444
200	2136776484
176	2136776524
192	2136776564
184	2136776604
224	2136776644
240	2136776684
264	2136776724
280	2136776764
272	2136776804
272	2136776844
288	2136776395
304	2136776435
304	2136776475
312	2136776515
304	2136776555
304	2136776595
320	2136776635
320	2136776675
336	2136776715
352	2136776755
376	2136776795
384	2136776835
384	2136776875
376	2136776915
392	2136776955
456	2136776995
456	2136777035
456	2136777075
472	2136777115
456	2136777155
464	2136777195
464	2136777235
464	2136777275
488	2136777315
440	2136777355
400	2136776906
472	2136776946
480	2136776986
440	2136777026
448	2136777066
488	2136777106
560	2136777146
552	2136777186
544	2136777226
576	2136777266
528	2136777306
520	2136777346
608	2136777386
664	2136777426
600	2136777466
544	2136777506
560	2136777546
584	2136777586
568	2136777626
560	2136777666
576	2136777706
552	2136777746
496	2136777786
480	2136777826
464	2136777866
