Z	TIME
-983	2136766182
-959	2136766222
-887	2136766262
-935	2136766302
-999	2136766342
-983	2136766382
-967	2136766422
-919	2136766462
-991	2136766502
-927	2136766542
-991	2136766582
-959	2136766622
-991	2136766662
-975	2136766702
-991	2136766742
-983	2136766782
-991	2136766822
-975	2136766862
-967	2136766902
-983	2136766942
-967	2136766982
-959	2136767022
-983	2136767062
-919	2136767102
-991	2136767142
248	2136767204
208	2136767244
248	2136767284
336	2136767324
368	2136767364
408	2136767404
216	2136767444
120	2136767484
328	2136767524
392	2136767564
264	2136767604
8	2136767644
96	2136767684
208	2136767724
128	2136767764
-47	2136767804
0	2136767844
160	2136767884
112	2136767924
32	2136767964
72	2136768004
-471	2136768044
-167	2136768084
176	2136768124
288	2136768164
160	2136767714
32	2136767754
8	2136767794
168	2136767834
312	2136767874
232	2136767914
296	2136767954
456	2136767994
352	2136768034
424	2136768074
480	2136768114
536	2136768154
600	2136768194
552	2136768234
600	2136768274
584	2136768314
632	2136768354
640	2136768394
552	2136768434
624	2136768474
640	2136768514
608	2136768554
704	2136768594
696	2136768634
656	2136768674
712	2136768225
680	2136768265
696	2136768305
680	2136768345
608	2136768385
608	2136768425
600	2136768465
600	2136768505
592	2136768545
656	2136768585
576	2136768625
544	2136768665
608	2136768705
632	2136768745
648	2136768785
664	2136768825
632	2136768865
664	2136768905
720	2136768945
736	2136768985
680	2136769025
680	2136769065
672	2136769105
736	2136769145
776	2136769185
776	2136768736
768	2136768776
744	2136768816
824	2136768856
856	2136768896
848	2136768936
848	2136768976
864	2136769016
888	2136769056
928	2136769096
896	2136769136
904	2136769176
888	2136769216
848	2136769256
856	2136769296
896	2136769336
848	2136769376
872	2136769416
848	2136769456
888	2136769496
936	2136769536
856	2136769576
888	2136769616
952	2136769656
832	2136769696
880	2136769247
928	2136769287
936	2136769327
912	2136769367
840	2136769407
840	2136769447
896	2136769487
872	2136769527
840	2136769567
784	2136769607
856	2136769647
832	2136769687
824	2136769727
816	2136769767
776	2136769807
824	2136769847
832	2136769887
848	2136769927
792	2136769967
696	2136770007
784	2136770047
768	2136770087
768	2136770127
768	2136770167
720	2136770207
664	2136769757
712	2136769797
656	2136769837
616	2136769877
600	2136769917
576	2136769957
616	2136769997
560	2136770037
568	2136770077
552	2136770117
504	2136770157
512	2136770197
648	2136770237
632	2136770277
600	2136770317
560	2136770357
640	2136770397
752	2136770437
648	2136770477
648	2136770517
744	2136770557
776	2136770597
744	2136770637
776	2136770677
888	2136770717
944	2136770268
960	2136770308
848	2136770348
824	2136770388
952	2136770428
904	2136770468
928	2136770508
840	2136770548
968	2136770588
856	2136770628
912	2136770668
800	2136770708
864	2136770748
888	2136770788
976	2136770828
896	2136770868
888	2136770908
936	2136770948
928	2136770988
880	2136771028
848	2136771068
920	2136771108
904	2136771148
888	2136771188
872	2136771228
944	2136770268
960	2136770308
